ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl,weekday_ksc_ent_in,weekday_ksc_ent_out,weekend_ksc_ent_in,weekend_ksc_ent_out
29,BUGIS,14278,14023,8195,8377,1,1,1,1,0.7312195656600142,0.6608924357763233,0.6322959425809033,0.5981429160516983
30,BUKIT BATOK CENTRAL,14278,14023,8195,8136,1,1,1,1,0.8907549779429682,0.9697219676512426,0.9298462952732414,0.9606087369959845
31,BUKIT BATOK EAST,12232,13524,7364,7874,0,1,0,1,0.5344221433042429,0.5582667574082967,0.7187213046963301,0.5578156371305528
32,BUKIT BATOK SOUTH,14278,13524,8112,7753,1,1,1,1,0.59276075851765,0.3273801712014978,0.6638368522742573,0.3161811909294769
33,BUKIT BATOK WEST,13339,11571,8067,7080,1,0,1,0,0.5680145230526817,0.8552631265407094,0.585452828163744,0.8083417216593377
34,BUKIT HO SWEE,12215,13524,7304,7726,0,1,0,1,0.857383073627889,0.5214822665073903,0.9313806386014007,0.5189732260608403
35,BUKIT MERAH,14278,14023,8195,7874,1,1,1,1,0.6503695622702287,0.5319819907706393,0.7007011979531175,0.5218787298343994
36,CECIL,12875,13524,5321,5596,1,1,0,0,0.8349108828086128,0.6082495960917286,0.8187833427550305,0.6878822063451349
37,CENTRAL SUBZONE,14278,13524,7145,5902,1,1,0,0,0.8093094200397345,0.6614379307747813,0.8949175926718896,0.8923557156030953
38,CENTRAL WATER CATCHMENT,11796,11513,7193,7616,0,0,0,0,0.951631250583882,0.8717077000296781,0.9272160201879174,0.8067218672533408
39,CHANGI AIRPORT,14278,14023,8195,8377,1,1,1,1,0.6238129773692866,0.3684476866214977,0.6099837261579535,0.3347565274081079
40,CHANGI POINT,7675,6902,6195,6053,0,0,0,0,0.6852714186684808,0.6263293123174382,0.6016678346848497,0.5367958309329928
41,CHANGI WEST,8708,11727,4775,6362,0,0,0,0,0.7417968918951463,0.2219527347379834,0.8389548363978664,0.32217657525720395
42,CHATSWORTH,12733,13524,7466,7782,0,1,0,1,0.9271873211796643,0.7470637824472217,0.9268135849505109,0.6793538961471557
43,CHENG SAN,14278,14023,8195,8377,1,1,1,1,0.3763491443893359,0.6710296771117457,0.3083093316733919,0.5547884065564961
44,CHIN BEE,8806,3630,4142,1754,0,0,0,0,0.362320055499655,0.2478362256141973,0.3819119536301996,0.2875057316418136
45,CHINA SQUARE,14278,13524,8195,7726,1,1,1,1,0.5659490035997877,0.5349240699357999,0.4254506318963294,0.5174967874534493
46,CHINATOWN,14278,14023,8195,8377,1,1,1,1,0.5615074042973667,0.42378053893097156,0.5036429511620548,0.4119362351218152
47,CHOA CHU KANG CENTRAL,14278,14023,8195,8377,1,1,1,1,0.8286043426634657,0.924191669281347,0.8684045630259274,0.9570132673690943
