ind,node,level_1_weekday,level_1_weekend
280,LOWER SELETAR,7,8
281,SPRINGLEAF,7,6
282,MANDAI ESTATE,7,8
283,CHOA CHU KANG CENTRAL,8,7
284,TECK WHYE,8,7
285,KEAT HONG,8,7
286,PENG SIANG,8,7
287,CHOA CHU KANG NORTH,8,7
288,YEW TEE,8,7
289,LIM CHU KANG,8,4
290,MATILDA,9,2
291,PUNGGOL FIELD,9,2
292,WATERWAY EAST,9,2
293,SELETAR,9,2
294,PUNGGOL TOWN CENTRE,9,2
295,SELETAR AEROSPACE PARK,9,8
296,NORTHSHORE,9,2
297,TUAS BAY,10,11
298,TUAS VIEW,10,11
299,TUAS PROMENADE,10,11
300,TUAS NORTH,10,11
301,TUAS VIEW EXTENSION,10,11
302,TENGEH,10,11
