ind,name,epi_val,loc_x,loc_y,geometry,lon,lat
91,SPRINGLEAF,0.0006647498103454757,26969.723237830163,42586.216026900176,POINT (26969.72323783016 42586.21602690018),103.82406069442041,1.4014091006524756
92,MARINA SOUTH,0.00045625108638788303,31595.83574613999,29220.18737674884,POINT (31595.83574613999 29220.18737674884),103.86562853478742,1.2805312962019255
93,YUHUA EAST,0.00415682324109181,17485.175463876916,35841.780067273954,POINT (17485.17546387692 35841.78006727395),103.73883666496965,1.3404130148853381
94,REDHILL,0.0033076502302732294,26201.95801931446,30005.703511426786,POINT (26201.95801931446 30005.70351142679),103.8171624411697,1.2876353816457462
95,KRANJI,0.0018551044582279677,19766.843293119193,46226.35453071179,POINT (19766.84329311919 46226.35453071179),103.75933586828188,1.4343280145032133
96,THE WHARVES,0.0003081533146949545,26945.068079765482,49552.790419481935,POINT (26945.06807976548 49552.79041948193),103.82383888814324,1.464412275616051
97,EVERTON PARK,0.0025365763667749225,28333.577171399804,28602.992668595456,POINT (28333.5771713998 28602.99266859546),103.8363158911518,1.274949806499845
98,HOUGANG EAST,0.002447760185069889,35128.00086020315,39812.38575361663,POINT (35128.00086020315 39812.38575361663),103.89736884133832,1.376322727735216
99,ROBERTSON QUAY,0.002010401248101095,28416.847705809705,30409.360710004737,POINT (28416.84770580971 30409.36071000474),103.83706413074859,1.291285964435722
100,ANSON,0.0009696821395340589,29145.35005232677,28466.778334447317,POINT (29145.35005232677 28466.77833444732),103.84360995976606,1.2737179128758616
101,CLEMENTI WOODS,0.003315082929307408,20764.19809802967,31824.742163942192,POINT (20764.19809802967 31824.74216394219),103.76830155139798,1.3040853337478187
102,CLEMENTI CENTRAL,0.010658902119526243,20183.449679705915,32707.539452139346,POINT (20183.44967970591 32707.53945213935),103.76308303868232,1.3120688940342147
103,SENJA,0.002993871021552971,19897.9466771508,40895.36376800436,POINT (19897.9466771508 40895.36376800436),103.76051545403591,1.3861165316950739
104,YIO CHU KANG NORTH,0.0008584129601973478,29505.98777337602,41733.440102381326,POINT (29505.98777337602 41733.44010238133),103.84685107338909,1.3936968809849108
105,BOON TECK,0.0024859935139134276,30193.134931548204,35272.747408820775,POINT (30193.1349315482 35272.74740882077),103.85302516034008,1.3352686406656227
106,BISHAN EAST,0.009545312478410884,30191.909235033578,36882.193980520504,POINT (30191.90923503358 36882.1939805205),103.85301426314005,1.3498239031991925
107,TIONG BAHRU STATION,0.006713443376736157,27277.469823286847,29607.023713238825,POINT (27277.46982328685 29607.02371323882),103.82682636099557,1.2840299047502715
108,TENGAH,0.0006598935777396401,16363.189321680702,38432.54743056752,POINT (16363.1893216807 38432.54743056752),103.7287539643239,1.3638425414864637
109,CLEMENTI WEST,0.0033328428838247997,20184.350834316938,31651.883436949975,POINT (20184.35083431694 31651.88343694997),103.76309140130333,1.3025219206014296
110,KAMPONG GLAM,0.0008200813224155298,30934.989044484697,31623.14830896252,POINT (30934.9890444847 31623.14830896252),103.85969079948255,1.3022628966224086
111,MOUNT PLEASANT,0.0006554871291984216,27515.312527188988,35112.61835675621,POINT (27515.31252718899 35112.61835675621),103.82896338520835,1.333820565742547
112,BOULEVARD,0.008755843200120699,27916.92717451886,31967.006460267352,POINT (27916.92717451886 31967.00646026735),103.83257213088058,1.3053727671783728
113,TAI SENG,0.0025604229860365464,34043.04547353803,36213.01163935063,POINT (34043.04547353803 36213.01163935063),103.88761900539464,1.3437715290874896
114,BRADDELL,0.0022260676655198883,29811.600606058993,35855.51003411173,POINT (29811.60060605899 35855.51003411173),103.84959688934454,1.3405389641360828
115,GEYLANG BAHRU,0.0029432730007153797,32110.0626608427,33765.67462411836,POINT (32110.0626608427 33765.67462411836),103.87024965664104,1.321639011249441
116,NEE SOON,0.0005484526388260109,25921.724541618416,43261.52256922593,POINT (25921.72454161842 43261.52256922593),103.81464351580912,1.4075162731671977
117,YIO CHU KANG EAST,0.0009510557706299481,30234.36824767746,40602.650868163284,POINT (30234.36824767746 40602.65086816328),103.85339606327278,1.3834703822853665
118,HOUGANG WEST,0.005747757803554132,33849.22059854426,39506.87246417263,POINT (33849.22059854426 39506.87246417263),103.88587801549866,1.3735600585379475
119,TAMPINES NORTH,0.0015562241211087163,39763.942304357435,38698.16923684965,POINT (39763.94230435744 38698.16923684965),103.93902566064801,1.3662446773061188
120,KHATIB,0.006114987018036766,27480.635781943467,44420.68844005302,POINT (27480.63578194347 44420.68844005302),103.82865163074285,1.417999422097793
121,ISTANA NEGARA,0.00024010587987676225,29226.828401770454,31963.289418193264,POINT (29226.82840177045 31963.28941819326),103.84434220775674,1.3053391274262198
122,MANDAI WEST,0.00026805939304870856,22549.07367066924,44455.84748237901,POINT (22549.07367066924 44455.84748237901),103.78433717404774,1.4183168706857125
123,YEW TEE,0.004752538954231202,18498.113917888808,42506.07435712102,POINT (18498.11391788881 42506.07435712102),103.74793637383215,1.4006827810316804
124,SEMBAWANG SPRINGS,0.001399077178092162,27076.811872762613,46959.08865421795,POINT (27076.81187276261 46959.08865421795),103.8250228325317,1.4409557848889198
125,KENT RIDGE,0.001252212996621547,23464.84096945936,29725.370664883834,POINT (23464.84096945936 29725.37066488383),103.7925683749522,1.285099874045186
126,JURONG RIVER,0.0009182226346160781,16367.556024960319,33519.992654829344,POINT (16367.55602496032 33519.99265482934),103.72879508779815,1.319415216301221
127,STRAITS VIEW,0.0006347875323143949,30832.901787749663,28194.084366665516,POINT (30832.90178774966 28194.08436666552),103.85877319158759,1.2712516585846738
128,MACKENZIE,0.0007750693979108594,29680.0182285785,32062.926337235265,POINT (29680.0182285785 32062.92633723527),103.84841433618162,1.3062401873224059
129,KEMBANGAN,0.006612162304833807,37158.70152597109,34115.96834310454,POINT (37158.70152597109 34115.96834310454),103.91561441730295,1.3248058450453342
130,SELEGIE,0.0008862061311029674,29817.330417508154,31611.0039513247,POINT (29817.33041750815 31611.0039513247),103.8496481246803,1.3021531528758177
131,SENOKO SOUTH,0.0016466836429429948,25130.655027630622,48346.032612006624,POINT (25130.65502763062 48346.03261200662),103.80753457399123,1.453498669343512
132,CHANGI WEST,0.0013485213397936087,44092.33800889986,38928.65858804422,POINT (44092.33800889986 38928.65858804422),103.97791931443878,1.3683270955747835
133,LIU FANG,0.0010490246551651675,14079.100430344712,33391.56235811993,POINT (14079.10043034471 33391.56235811993),103.7082322256014,1.3182527858717021
134,MARITIME SQUARE,0.009897444628355559,25805.786755556164,27911.41936687398,POINT (25805.78675555616 27911.41936687398),103.81360282599435,1.2686953856199377
135,TELOK BLANGAH DRIVE,0.0050647620765347425,25280.261256543246,28791.460639047047,POINT (25280.26125654325 28791.46063904705),103.80888072568372,1.2766541295431642
136,TAMPINES WEST,0.010644431324991654,39421.657135673464,36739.206926782084,POINT (39421.65713567346 36739.20692678208),103.9359492504395,1.3485286827103693
137,SENGKANG WEST,0.000304091631108238,31319.943179597,41936.678659985184,POINT (31319.943179597 41936.67865998518),103.86315092364016,1.395534746391568
