node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl
MACPHERSON,14278,14023,8195,8377,1,1,1,1
MALCOLM,13642,13524,7647,7534,1,1,1,0
MANDAI EAST,6777,4723,4296,3085,0,0,0,0
MANDAI ESTATE,3703,2423,2299,1419,0,0,0,0
MANDAI WEST,2063,1403,1187,762,0,0,0,0
MARGARET DRIVE,12733,13524,7377,7726,0,1,0,1
MARINA CENTRE,14278,13942,8195,8377,1,1,1,1
MARINA SOUTH,633,576,517,456,0,0,0,0
MARINE PARADE,14278,14023,8195,8377,1,1,1,1
MARITIME SQUARE,14278,14023,8195,8377,1,1,1,1
MARYMOUNT,14278,14023,8195,8377,1,1,1,1
MATILDA,14278,14023,8195,8377,1,1,1,1
MAXWELL,2545,1526,1752,1004,0,0,0,0
MEI CHIN,14278,14023,8195,8136,1,1,1,1
MIDVIEW,11312,12290,6470,7087,0,0,0,0
MONK'S HILL,2314,1670,1152,863,0,0,0,0
MOULMEIN,14278,14023,8195,8377,1,1,1,1
MOUNT PLEASANT,9666,9236,4879,4459,0,0,0,0
MOUNTBATTEN,11749,12587,6711,7385,0,0,0,0
NASSIM,13642,14023,8112,8136,1,1,1,1
NATIONAL UNIVERSITY OF S'PORE,14278,14023,7364,7566,1,1,0,0
NATURE RESERVE,12232,12581,6977,7173,0,0,0,0
NEE SOON,5142,4321,3049,2356,0,0,0,0
NEWTON CIRCUS,14278,14023,8195,8221,1,1,1,1
NORTH COAST,13515,12781,8112,7874,1,0,1,1
NORTHLAND,8453,10710,4888,6238,0,0,0,0
NORTHSHORE,3965,4013,3361,3629,0,0,0,0
ONE NORTH,14278,14023,8112,7782,1,1,1,1
ONE TREE HILL,8415,8818,5012,5291,0,0,0,0
ORANGE GROVE,2555,1448,1701,826,0,0,0,0
OXLEY,3335,3718,2228,2511,0,0,0,0
PANDAN,6272,4380,2607,1895,0,0,0,0
PANG SUA,1606,1556,602,566,0,0,0,0
PASIR PANJANG 1,14278,13524,8195,7644,1,1,1,0
PASIR PANJANG 2,11796,13524,4866,5827,0,1,0,0
PASIR RIS CENTRAL,14278,14023,8195,8377,1,1,1,1
PASIR RIS DRIVE,14278,14023,8195,8377,1,1,1,1
PASIR RIS PARK,5506,8116,3433,5388,0,0,0,0
PASIR RIS WAFER FAB PARK,6813,2858,3991,1620,0,0,0,0
PASIR RIS WEST,14278,14023,8195,8377,1,1,1,1
PATERSON,7417,10398,5717,6817,0,0,0,0
PAYA LEBAR EAST,2333,2627,1125,1261,0,0,0,0
PAYA LEBAR NORTH,6518,5620,4225,3540,0,0,0,0
PAYA LEBAR WEST,1972,1506,731,570,0,0,0,0
PEARL'S HILL,12981,13524,7591,8136,1,1,0,1
PEI CHUN,4702,8081,2771,4649,0,0,0,0
PENG SIANG,13435,9559,8112,5679,1,0,1,0
PENJURU CRESCENT,2619,3576,1307,1775,0,0,0,0
PEOPLE'S PARK,14278,14023,8195,8377,1,1,1,1
PHILLIP,2052,220,643,44,0,0,0,0
PIONEER SECTOR,958,1340,538,734,0,0,0,0
PLAB,2144,3725,807,1700,0,0,0,0
PORT,12114,10755,5717,6144,0,0,0,0
POTONG PASIR,14278,13524,8195,7616,1,1,1,0
PUNGGOL FIELD,14278,14023,8195,8377,1,1,1,1
PUNGGOL TOWN CENTRE,12227,12781,7065,7596,0,0,0,0
QUEENSWAY,9575,11513,5012,6817,0,0,0,0
RAFFLES PLACE,12758,13524,4728,5354,0,1,0,0
REDHILL,14278,14023,8195,8136,1,1,1,1
RESERVOIR VIEW,2001,1858,1143,1198,0,0,0,0
RIDOUT,9541,9675,5717,5525,0,0,0,0
RIVERVALE,14278,14023,8195,8377,1,1,1,1
ROBERTSON QUAY,12565,11966,7377,7081,0,0,0,0
ROCHOR CANAL,9073,8751,5514,5505,0,0,0,0
SAFTI,796,2771,431,1366,0,0,0,0
SAMULUN,1689,856,749,449,0,0,0,0
SAUJANA,13642,13907,8112,8136,1,1,1,1
SELEGIE,7244,6603,4377,3917,0,0,0,0
SELETAR,7844,8436,4650,4893,0,0,0,0
SELETAR AEROSPACE PARK,3633,3741,1597,1721,0,0,0,0
SELETAR HILLS,10321,8213,5075,4389,0,0,0,0
SEMBAWANG CENTRAL,14278,14023,8195,8377,1,1,1,1
SEMBAWANG EAST,4242,5891,2459,3707,0,0,0,0
SEMBAWANG HILLS,10022,8436,5535,5022,0,0,0,0
SEMBAWANG NORTH,10221,8436,6239,4927,0,0,0,0
SEMBAWANG SPRINGS,8845,8436,5449,5185,0,0,0,0
SEMBAWANG STRAITS,1309,1753,1069,1511,0,0,0,0
SENGKANG TOWN CENTRE,14278,14023,8195,8377,1,1,1,1
SENGKANG WEST,2455,2772,1570,1562,0,0,0,0
SENJA,14092,13942,8112,8136,1,1,1,1
SENNETT,14278,13524,8195,7569,1,1,1,0
SENOKO NORTH,4607,5377,2713,2970,0,0,0,0
SENOKO SOUTH,7180,7718,3213,3743,0,0,0,0
SENOKO WEST,4607,6391,2713,3786,0,0,0,0
