node,in_degree_weekday,out_degree_weekday,PageRank_weekday,HITS_hub_weekday,HITS_authority_weekday,in_degree_weekend,out_degree_weekend,PageRank_weekend,HITS_hub_weekend,HITS_authority_weekend
CHANGI WEST,2082560.0,3237333.0,0.0015310944026878993,0.011507124143891444,0.009400699032435296,559460.0,913418.0,0.0013470590126475636,0.0067697897022576635,0.005044108374160186
CHATSWORTH,3084940.0,3196201.0,0.002401437598158579,0.00035005892318702784,0.0002529192701000774,1087520.0,1200837.0,0.0023790851084179777,0.0005565555352455766,0.0003396057412441284
CHENG SAN,9194712.0,11753701.0,0.005087977569686808,0.0036142751823981497,0.003590606493075913,2855543.0,3314099.0,0.004671772578999394,0.0033124584629235956,0.0026754027701004625
CHIN BEE,1637380.0,1240320.0,0.0015194170533016785,0.0005433276338328245,0.0005755215098015826,326880.0,241140.0,0.0010662676539870842,0.0008740790920464872,0.0006296642687550921
CHINA SQUARE,2472119.0,2130382.0,0.002068334413735668,0.0002898535080110275,0.0010940722441350591,1135098.0,703633.0,0.0023761698828807624,0.0002982405902133244,0.0015558453815507102
CHINATOWN,6449784.0,7878601.0,0.0048249939044409116,0.0012691672887500177,0.001958876391183788,2731740.0,3059674.0,0.0054434609893536864,0.001436044180704165,0.0027193401946773374
CHOA CHU KANG CENTRAL,15594746.0,16794431.0,0.009519662925417264,0.0014257431237919716,0.0015212016752608885,5711073.0,5989579.0,0.009792864529149091,0.0028968763738416842,0.003216245344293415
CHOA CHU KANG NORTH,4282069.0,4967776.0,0.0028503712242964017,0.0004176235522493897,0.0003330172441862798,1344862.0,1509601.0,0.0025665012215039446,0.0007248631271563773,0.0005929238248436471
CHONG BOON,10382380.0,7684372.0,0.005252448562475864,0.002221679155140429,0.0032614053805250912,3484140.0,2722820.0,0.005292775232712168,0.0023624213055253146,0.0033969991882305413
CITY HALL,6100891.0,5738695.0,0.004318150178675752,0.0018126325685514002,0.0019348365228248293,2554725.0,2287996.0,0.004811029201638534,0.00235055311305463,0.0028065171483497462
CITY TERMINALS,1283200.0,1033040.0,0.0014237366615777256,0.00011955995924139332,0.0003128114661031957,393260.0,286580.0,0.0013149026532215976,0.00015326737910993803,0.00029931950643240907
CLARKE QUAY,2663542.0,3880736.0,0.0022025681242803146,0.0013240920281995053,0.000466509710478063,984711.0,1385948.0,0.00224846195545437,0.0016217070054772246,0.000494494344376706
