node,in_degree_weekday,out_degree_weekday,PageRank_weekday,HITS_hub_weekday,HITS_authority_weekday,in_degree_weekend,out_degree_weekend,PageRank_weekend,HITS_hub_weekend,HITS_authority_weekend
HENDERSON HILL,0.13510278032600767,0.152266691083719,0.1513087871096963,0.00433860032946686,0.0034750964673192996,0.13596963252366184,0.15872302802545282,0.15951724602666167,0.009143960184259347,0.007493574371272476
HILLCREST,0.037940684559835645,0.04321701678975667,0.04885711744505245,0.002549244091148366,0.0012776079317795214,0.02553858723976667,0.03594746285959919,0.03404789211404345,0.0038270723551523797,0.002296309512345565
HILLVIEW,0.10605769953510806,0.0973486550336853,0.10700629853635486,0.0033650989839646584,0.0031501061229906122,0.09329648815856975,0.08921780459687767,0.10164008551663724,0.007455208083756256,0.006878288603676001
HOLLAND DRIVE,0.08879293807699752,0.09179905524206436,0.10440152602619043,0.001981265012701639,0.0017353062539515684,0.08917283235649544,0.09207106989103746,0.11289158692700814,0.00456940876682928,0.004580895176503311
HOLLAND ROAD,0.1504759055148274,0.164231169959746,0.1596198407122993,0.004899973408516394,0.006395208023379924,0.09132918110905282,0.11102789844925394,0.1052636636921816,0.007740678521493322,0.007456775865752487
HONG KAH,0.4273790269569995,0.422989033937807,0.433486063611503,0.030384516820839605,0.04091655790782375,0.4527793660491386,0.44621887598590587,0.4632283905510141,0.12097911296231414,0.16037636316808318
HONG KAH NORTH,0.12740981853862166,0.15485459531579324,0.1218142659691201,0.004269397525557441,0.004124707363079253,0.11734298458159219,0.14408635590957347,0.11758938439017493,0.011645535300819304,0.011390959577024557
HOUGANG CENTRAL,0.4271437514129737,0.3831744139623075,0.33089272235639755,0.07632737535887223,0.11227408700002345,0.4367524496449958,0.38330627723249466,0.3517901227558699,0.10015693605014336,0.15120274144659812
HOUGANG EAST,0.1512600896119187,0.1572448692910448,0.1153683184686617,0.03733978920991943,0.04060445241783901,0.14944579192434415,0.14770799275754043,0.12013035915857304,0.04401988954095492,0.052972634511529434
HOUGANG WEST,0.3399593760075827,0.35330329732576404,0.26760026763172884,0.07368658330744685,0.08082096039760645,0.33757656862372987,0.3635600726851158,0.28120614872726046,0.10156852156401075,0.10765779950052297
INSTITUTION HILL,0.02096497508377719,0.016960372716446362,0.021032288623986366,0.0003234871167018867,0.0012683629430800469,0.023579605861109035,0.018941441588130704,0.023397119362772934,0.0007460990961871336,0.0027102690305429414
INTERNATIONAL BUSINESS PARK,0.02318394240784364,0.02526254966348828,0.023650996274168227,0.0007883690930622703,0.0010920108220803767,0.00816242241107347,0.012439836132839213,0.009189767460924918,0.0013603279055271354,0.001577876962124839
ISTANA NEGARA,0.001257201994226506,0.0034468991670524485,0.0010679850750105963,0.00025606819864387904,0.0009177683936739044,0.0005158650963798432,0.0025347794371462624,0.00011809605705698064,0.00032568764823122343,0.0007220407513881284
JELEBU,0.43809136306292945,0.432628471041338,0.4522775572886326,0.016492915052554825,0.02456406787562868,0.4586881436325147,0.4507914927152059,0.48950158773639,0.04246215511209482,0.05923574739909918
JOO KOON,0.13311786965206673,0.1554934102394653,0.2734554172681947,0.00872726305476619,0.009883253193371811,0.12063260406170302,0.14200887071037327,0.2788248929827815,0.021643175267988344,0.029916768119332846
JOO SENG,0.10628296273638198,0.10584067077130967,0.09298349298269346,0.021935288664370105,0.02786333607489004,0.08180616450627752,0.07141157946840868,0.07741226440132816,0.021554925939797152,0.027488352929790155
JURONG GATEWAY,0.47676991375164807,0.504352187923341,0.5130046811926242,0.021959947360332854,0.02237360204876573,0.5664617490520367,0.5952329701248543,0.6414174489627331,0.08346027954326525,0.08292632062609127
JURONG PORT,0.02652661382277921,0.016415538799795716,0.02737887844955681,0.0013065923776826407,0.0016648449552459903,0.016122416746352314,0.012286780557382814,0.01673336191549436,0.0035924314812924713,0.004124985362645139
JURONG RIVER,0.029822851184373084,0.037541786714014515,0.03096903246546001,0.0019163204412042533,0.0035267451376207117,0.05124368789671924,0.04678941506718163,0.05413778655325115,0.010052563275675764,0.015225162174236213
JURONG WEST CENTRAL,0.8868261076625765,0.9019761035161693,1.0,0.0958355692656472,0.09154257658811102,0.8603903352021199,0.8596538175968321,1.0,0.28697391553220586,0.3489627761665952
