ind,node,lvl_dc_spreader,lvl_hh,lvl_pr_spreader,lvl_dc_receiver,lvl_ha,lvl_pr_receiver
49,PAYA LEBAR EAST,3,3,3,3,3,3
50,PLAB,3,3,3,3,3,3
51,LORONG HALUS,3,3,3,3,3,3
52,MARITIME SQUARE,2,3,2,2,3,2
53,BOULEVARD,2,3,2,2,3,2
54,BALESTIER,3,3,3,2,2,2
55,TIONG BAHRU STATION,3,3,3,3,3,3
56,BENDEMEER,3,2,3,3,3,3
57,ALEXANDRA HILL,3,3,3,3,3,3
58,LAVENDER,3,3,3,2,2,2
59,MOULMEIN,3,3,3,3,3,3
60,CHINATOWN,3,3,3,3,3,3
61,FARRER PARK,3,3,3,2,3,2
62,BUKIT MERAH,3,3,3,3,3,3
63,SOMERSET,3,3,3,2,3,2
64,TELOK BLANGAH DRIVE,3,3,3,3,3,3
65,BUGIS,3,3,3,2,3,2
66,CITY HALL,3,3,2,3,3,2
67,VICTORIA,2,2,2,3,3,3
68,KALLANG BAHRU,3,3,3,3,3,3
69,DHOBY GHAUT,3,3,2,3,3,3
70,REDHILL,3,3,3,3,3,3
71,BOON KENG,3,3,3,3,3,3
72,GEYLANG BAHRU,3,3,3,3,3,3
73,HENDERSON HILL,3,3,3,3,3,3
74,MEI CHIN,3,3,3,3,3,3
75,PEOPLE'S PARK,3,3,3,3,3,3
76,CRAWFORD,3,3,3,3,3,3
77,TANGLIN HALT,3,3,3,3,3,3
78,BRAS BASAH,3,3,3,3,3,3
79,TELOK BLANGAH RISE,3,3,3,3,3,3
80,NEWTON CIRCUS,3,3,3,3,3,3
81,KAMPONG TIONG BAHRU,3,3,3,3,3,3
82,SINGAPORE GENERAL HOSPITAL,3,3,3,3,3,3
83,EVERTON PARK,3,3,3,3,3,3
84,KAMPONG JAVA,3,3,3,3,3,3
85,HOLLAND DRIVE,3,3,3,3,3,3
86,TIONG BAHRU,3,3,3,3,3,3
87,MARINA CENTRE,3,3,3,3,3,3
88,CENTRAL SUBZONE,3,3,3,3,3,3
89,MALCOLM,3,3,3,3,3,3
90,PEARL'S HILL,3,3,3,3,3,3
91,COMMONWEALTH,3,3,3,3,3,3
92,NASSIM,3,3,3,3,3,3
93,TELOK BLANGAH WAY,3,3,3,3,3,3
94,CHATSWORTH,3,3,3,3,3,3
95,MARGARET DRIVE,3,3,3,3,3,3
96,CLARKE QUAY,3,3,3,3,3,3
97,CHINA SQUARE,3,3,3,3,3,3
98,BUKIT HO SWEE,3,3,3,3,3,3
99,CECIL,3,3,3,3,3,3
100,ROBERTSON QUAY,3,3,3,3,3,3
101,PASIR PANJANG 2,3,3,3,3,3,3
102,TYERSALL,3,3,3,3,3,3
103,KAMPONG BUGIS,3,3,3,3,3,3
104,BENCOOLEN,3,3,3,3,3,3
105,SUNGEI ROAD,3,3,3,3,3,3
106,LEEDON PARK,3,3,3,3,3,3
107,RAFFLES PLACE,3,3,3,3,3,3
108,DEPOT ROAD,3,3,3,3,3,3
109,BOAT QUAY,3,3,3,3,3,3
110,CLIFFORD PIER,3,3,3,3,3,3
111,DUNEARN,3,3,3,3,3,3
112,RIDOUT,3,3,3,3,3,3
113,QUEENSWAY,3,3,3,3,3,3
114,FARRER COURT,3,3,3,3,3,3
115,CITY TERMINALS,3,3,3,3,3,3
116,BAYFRONT SUBZONE,3,3,3,3,3,3
117,TANJONG PAGAR,3,3,3,3,3,3
118,FORT CANNING,3,3,3,3,3,3
119,KAMPONG GLAM,3,3,3,3,3,3
120,MACKENZIE,3,3,3,3,3,3
121,SELEGIE,3,3,3,3,3,3
122,ONE TREE HILL,3,3,3,3,3,3
123,ANSON,3,3,3,3,3,3
124,ROCHOR CANAL,3,3,3,3,3,3
125,MOUNT PLEASANT,3,3,3,3,3,3
126,PATERSON,3,3,3,3,3,3
127,INSTITUTION HILL,3,3,3,3,3,3
128,GOODWOOD PARK,3,3,3,3,3,3
129,LEONIE HILL,3,3,3,3,3,3
130,ALEXANDRA NORTH,3,3,3,3,3,3
