ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl
106,JURONG WEST CENTRAL,7385,7318,6252,6239,1,1,1,1
107,KAKI BUKIT,7385,7318,6252,6239,1,1,1,1
108,KALLANG BAHRU,6610,6527,5904,5763,1,1,1,1
109,KALLANG WAY,3863,4566,2720,3733,0,1,0,0
110,KAMPONG BUGIS,4307,4006,4464,4058,0,0,1,0
111,KAMPONG GLAM,3028,2874,2896,2841,0,0,0,0
112,KAMPONG JAVA,6610,6504,6113,5760,1,1,1,1
113,KAMPONG TIONG BAHRU,4762,4445,4541,4058,1,0,1,0
114,KAMPONG UBI,7385,7318,6252,6171,1,1,1,1
115,KANGKAR,5499,5374,5044,5087,1,1,1,1
116,KATONG,5104,4758,4857,4481,1,1,1,1
117,KEAT HONG,4584,3023,4301,2839,0,0,0,0
118,KEBUN BAHRU,4762,4006,4467,3847,1,0,1,0
119,KEMBANGAN,7385,7318,6252,6239,1,1,1,1
120,KENT RIDGE,2565,2723,1619,1568,0,0,0,0
121,KHATIB,7385,7318,6252,6239,1,1,1,1
122,KIAN TECK,2797,1826,2289,1577,0,0,0,0
123,KIM KEAT,1895,3119,1723,2952,0,0,0,0
124,KOVAN,7385,7318,6252,6239,1,1,1,1
125,KRANJI,2882,2436,3179,2421,0,0,0,0
126,LAKESIDE,6385,6483,6113,6106,1,1,1,1
127,LAVENDER,7385,7318,6252,6239,1,1,1,1
128,LEEDON PARK,6385,6396,5501,5678,1,1,1,1
129,LEONIE HILL,2182,1914,1902,1663,0,0,0,0
130,LIM CHU KANG,476,587,696,670,0,0,0,0
131,LITTLE INDIA,1487,1390,1611,1620,0,0,0,0
132,LIU FANG,1104,1131,908,872,0,0,0,0
133,LORONG 8 TOA PAYOH,4254,3856,3919,3545,0,0,0,0
134,LORONG AH SOO,5789,6085,5501,5684,1,1,1,1
135,LORONG CHUAN,6133,6396,5321,5279,1,1,1,1
136,LORONG HALUS,360,241,325,176,0,0,0,0
137,LOWER SELETAR,2673,4076,2478,3958,0,0,0,0
138,LOYANG EAST,1311,1849,981,1759,0,0,0,0
139,LOYANG WEST,2619,1534,2106,962,0,0,0,0
140,MACKENZIE,2384,2782,2626,2907,0,0,0,0
141,MACPHERSON,7385,7318,6252,6239,1,1,1,1
142,MALCOLM,4711,4445,4136,3837,0,0,0,0
143,MANDAI EAST,2143,1494,2148,1543,0,0,0,0
144,MANDAI ESTATE,1171,766,1150,709,0,0,0,0
145,MANDAI WEST,652,444,593,381,0,0,0,0
146,MARGARET DRIVE,4218,4445,3843,4058,0,0,0,0
147,MARINA CENTRE,7385,7318,6252,6171,1,1,1,1
148,MARINA SOUTH,200,182,259,228,0,0,0,0
149,MARINE PARADE,6317,6527,5904,6106,1,1,1,1
150,MARITIME SQUARE,7385,7318,6252,6239,1,1,1,1
151,MARYMOUNT,5789,6396,5300,5684,1,1,1,1
152,MATILDA,7385,7318,6252,6239,1,1,1,1
153,MAXWELL,805,483,876,502,0,0,0,0
154,MEI CHIN,7220,7231,6252,6171,1,1,1,1
155,MIDVIEW,3577,3887,3235,3544,0,0,0,0
156,MONK'S HILL,732,528,576,432,0,0,0,0
157,MOULMEIN,7385,7318,6252,6239,1,1,1,1
158,MOUNT PLEASANT,3057,2921,2461,2230,0,0,0,0
159,MOUNTBATTEN,3715,4237,3390,3814,0,0,0,0
160,NASSIM,6017,6527,5398,5760,1,1,1,1
161,NATIONAL UNIVERSITY OF S'PORE,7385,7318,5501,5445,1,1,1,1
162,NATURE RESERVE,5974,6221,5321,5400,1,1,1,1
163,NEE SOON,1626,1366,1524,1178,0,0,0,0
164,NEWTON CIRCUS,7385,7318,6252,6239,1,1,1,1
165,NORTH COAST,4607,4158,4507,4173,0,0,1,1
166,NORTHLAND,2673,3387,2444,3119,0,0,0,0
167,NORTHSHORE,2439,2482,2530,2683,0,0,0,0
168,ONE NORTH,7385,7318,6252,6171,1,1,1,1
169,ONE TREE HILL,2661,2789,2506,2645,0,0,0,0
170,ORANGE GROVE,808,458,850,413,0,0,0,0
171,OXLEY,1055,1176,1114,1255,0,0,0,0
172,PANDAN,1983,1385,1304,948,0,0,0,0
173,PANG SUA,508,492,301,283,0,0,0,0
174,PASIR PANJANG 1,6385,6396,5501,5400,1,1,1,1
175,PASIR PANJANG 2,3730,4438,2433,2933,0,0,0,0
176,PASIR RIS CENTRAL,7385,7318,6252,6239,1,1,1,1
177,PASIR RIS DRIVE,6347,6527,5904,5925,1,1,1,1
178,PASIR RIS PARK,1741,2566,1716,2694,0,0,0,0
179,PASIR RIS WAFER FAB PARK,2154,904,1995,810,0,0,0,0
180,PASIR RIS WEST,5286,5320,4858,4867,1,1,1,1
181,PATERSON,2345,3288,2859,3540,0,0,0,0
182,PAYA LEBAR EAST,738,831,562,631,0,0,0,0
183,PAYA LEBAR NORTH,2061,1777,2112,1770,0,0,0,0
184,PAYA LEBAR WEST,624,476,365,285,0,0,0,0
185,PEARL'S HILL,4397,4645,4154,4504,0,1,0,1
186,PEI CHUN,1487,2555,1385,2325,0,0,0,0
187,PENG SIANG,4584,3023,4301,2839,0,0,0,0
188,PENJURU CRESCENT,828,1131,653,887,0,0,0,0
189,PEOPLE'S PARK,6610,6655,5773,6106,1,1,1,1
190,PHILLIP,649,69,322,22,0,0,0,0
191,PIONEER SECTOR,303,424,269,367,0,0,0,0
192,PLAB,678,1178,404,850,0,0,0,0
193,PORT,5678,5374,4464,4298,1,1,1,1
194,POTONG PASIR,7385,7066,6252,6106,1,1,1,1
195,PUNGGOL FIELD,7385,7318,6252,6239,1,1,1,1
196,PUNGGOL TOWN CENTRE,5789,5930,5501,5683,1,1,1,1
197,QUEENSWAY,3028,3641,2506,3502,0,0,0,0
198,RAFFLES PLACE,7385,7318,6252,6171,1,1,1,1
199,REDHILL,7385,7318,6252,6171,1,1,1,1
200,RESERVOIR VIEW,633,587,572,599,0,0,0,0
201,RIDOUT,3017,3060,2859,2762,0,0,0,0
202,RIVERVALE,7385,7318,6252,6239,1,1,1,1
203,ROBERTSON QUAY,4120,3852,3843,3698,0,0,0,0
204,ROCHOR CANAL,2869,2767,2774,2752,0,0,0,0
205,SAFTI,252,876,215,683,0,0,0,0
206,SAMULUN,534,271,374,224,0,0,0,0
207,SAUJANA,5480,6401,5059,5748,1,1,1,1
208,SELEGIE,2291,2088,2189,1959,0,0,0,0
209,SELETAR,2480,2668,2325,2446,0,0,0,0
210,SELETAR AEROSPACE PARK,1149,1183,798,860,0,0,0,0
211,SELETAR HILLS,3264,2597,2581,2195,0,0,0,0
212,SEMBAWANG CENTRAL,7385,7318,6252,6239,1,1,1,1
213,SEMBAWANG EAST,1341,1863,1230,1854,0,0,0,0
214,SEMBAWANG HILLS,3169,2668,2822,2511,0,0,0,0
215,SEMBAWANG NORTH,3232,2668,3119,2463,0,0,0,0
216,SEMBAWANG SPRINGS,2797,2668,2793,2593,0,0,0,0
217,SEMBAWANG STRAITS,414,554,534,755,0,0,0,0
218,SENGKANG TOWN CENTRE,7385,7318,6252,6239,1,1,1,1
219,SENGKANG WEST,776,877,785,781,0,0,0,0
