node,in_degree_weekday,out_degree_weekday,PageRank_weekday,HITS_hub_weekday,HITS_authority_weekday,in_degree_weekend,out_degree_weekend,PageRank_weekend,HITS_hub_weekend,HITS_authority_weekend
BOON LAY PLACE,18883.75397389367,18916.89017459087,0.0034093938743662926,0.005035484081681673,0.005117779169678345,21210.3522303828,21607.479882499803,0.003778797048080937,0.0060864622005507825,0.005804399830226357
BOON TECK,9268.762138436085,7500.422628072275,0.0019241940201978963,0.0012039378798433225,0.001555111543247354,10593.455333792102,7449.402731914864,0.0021539133072972123,0.001227187113935294,0.0017467561886898033
BOULEVARD,74682.05128701024,67698.46444583387,0.011802827115603183,0.013402256370492702,0.013772711495916747,104404.5505326733,98097.40738361939,0.01655078388245979,0.019423849831644246,0.018977114172932432
BRADDELL,8370.422297429728,8575.487419454827,0.0020173222547017317,0.0012668814872523995,0.001046412301836466,7060.172504697894,7588.422481345991,0.0017972248555864396,0.0011251869505021963,0.0009002935658578269
BRAS BASAH,14261.74352861943,13770.021590944914,0.002755849132843788,0.002096263050485418,0.0020470881927681624,12678.989685990406,12962.599154709716,0.002555748938546263,0.002179189529006085,0.0019431223172272716
BRICKWORKS,9305.824542913246,9158.460010365323,0.0019865100984387822,0.0009560632670131686,0.0012676374734824942,9144.052223920686,8448.245215643105,0.00196464856248365,0.000952953627860046,0.001297839758739169
BUGIS,28118.626179551353,27894.345509774666,0.004869043710602652,0.003907923460110488,0.003750684603970845,34226.92763368202,34974.479309275084,0.005817607426431004,0.0054682988349179775,0.005147878217455642
BUKIT BATOK CENTRAL,50577.60049092229,51181.753892473265,0.008436893428459115,0.007615320211360233,0.007866544366572753,49595.543912721674,49655.46168515256,0.008439466593206265,0.007883064242098257,0.008164697496729715
BUKIT BATOK EAST,7807.848090066831,9596.570723885821,0.001748640664384452,0.0010435283051840707,0.0009049903858814872,9054.71103778943,10167.36418924402,0.00197252919747009,0.0011444819519547884,0.0011383994940373753
BUKIT BATOK SOUTH,10999.692622223347,10412.211764007454,0.002169594467343576,0.0017613470065987631,0.0011538501155278808,9867.51902274107,10284.565735439346,0.0020929729550987234,0.0018440857904047996,0.0009679869473522878
BUKIT BATOK WEST,8968.116517505227,7800.95706832974,0.001941995182457443,0.0011005388645921484,0.0011090383074669643,8952.527134499282,8275.705284969536,0.0019882823280359253,0.0012869910285310678,0.0012130985529937638
BUKIT HO SWEE,5884.7712424999745,5689.786501529068,0.0015597571645939118,0.0005361161167040383,0.00048536131664876636,6211.763429720619,6310.437366388519,0.0016001707865776927,0.0006896647691788248,0.0005264943263933192
BUKIT MERAH,13944.977661034327,12201.086998750701,0.00319483919291862,0.0007881696646605558,0.0010003753310599314,11145.272229189566,9728.687307236147,0.002759707290541433,0.000642274324528162,0.0008130158216445051
CECIL,5081.5671777058005,5551.043921202025,0.0016579238492071264,0.0006781157283028024,0.0005086252010165787,1635.3937340652478,1802.5370910571153,0.0009464013616248529,0.00024331967710030332,0.00019213905683141566
CENTRAL SUBZONE,31947.69595461561,29297.891144384015,0.005675764289324565,0.0052771016847368325,0.005495533759907726,10629.694588325036,7880.007669683415,0.0027339651082766265,0.0013240425492448856,0.0019333296997463265
CENTRAL WATER CATCHMENT,4420.325572740624,4266.911503552265,0.0014018012566484376,0.0003360223802789922,0.00035532165412813086,5613.314120627602,5832.88133624173,0.0016500635828410697,0.0005007345953068797,0.0005037777138150767
CHANGI AIRPORT,39337.6571747871,39037.24648673458,0.006176058336769545,0.010510509733947612,0.010575526488997304,51976.47907129729,53307.51899905743,0.008017884196155843,0.012773794273959463,0.012559909120479345
CHANGI POINT,3016.6150708380924,2784.2692635811086,0.0009793621842135657,0.0007525002706709991,0.0009447490879132767,6830.771114743932,6313.677817716559,0.0016741252468490523,0.0015526418419792639,0.0018829412617484035
CHANGI WEST,4540.008297627173,7057.428684975353,0.0012117144328660859,0.0027930138631811407,0.0020352203881079736,3506.5820115749775,5725.11909314123,0.0010934844072162532,0.001814756162688993,0.0012293671525909846
CHATSWORTH,6725.209932814408,6967.760381878204,0.0016743837078755527,0.0007798026857009244,0.0005735604536730494,6816.355180402564,7526.603194211669,0.0016983978361764193,0.0011654620496004294,0.0006350426953309738
CHENG SAN,65524.3714032523,68198.45415495112,0.00987070091011952,0.01264645207959586,0.012456102468815369,61729.50144682332,62553.84487217565,0.009487019772255682,0.012251736033920036,0.012332597157794981
CHIN BEE,3569.5100195762802,2703.913976890431,0.0010830527264739194,0.0010516484158954733,0.0010996307502446384,2048.817659785559,1511.4166987294714,0.0008347374428763529,0.0006135291049774381,0.0005369847234084309
CHINA SQUARE,14602.84981726457,13439.21830846222,0.0027180890631770495,0.0021821586697680618,0.0029322648273633514,16783.877555707455,12161.661023888862,0.0030411293324538228,0.0020251736024394324,0.0033331541331966213
CHINATOWN,65946.24591181354,68427.36422714179,0.010269434476986765,0.011325011576123806,0.011567979675882764,66158.39286726373,70550.22906566942,0.010446035715738565,0.01243207118840929,0.01275037614339372
CHOA CHU KANG CENTRAL,71288.49165607174,72095.53572413242,0.011842813425390494,0.010519274901200342,0.011178472817551563,71559.5321982608,72017.26321977309,0.0119466737622879,0.010736373271992878,0.011228223681152961
CHOA CHU KANG NORTH,9334.966959421141,10829.817273333361,0.0018258921617653936,0.001755025861965847,0.0015058313611218813,8429.322734870675,9461.87343376756,0.00171703481468686,0.0014491046070309094,0.0012759220472184111
CHONG BOON,22633.72548647742,16752.03242262115,0.0037370263502298946,0.002124570250734093,0.002535410441870986,21837.884120060142,17066.084497116113,0.0037650328675867934,0.001948602788865473,0.0023043661209411074
CITY HALL,53918.955724662555,52099.34406727995,0.008353104599614003,0.010961129788365323,0.011151655036801218,66395.915522681,65412.52146257215,0.010248456584697927,0.014380929018112623,0.01424139744578834
CITY TERMINALS,2797.3929430677586,2252.040840014585,0.0010439590544260692,0.0003370876853145495,0.00038098196924087947,2464.874060472557,1796.225418934611,0.000996404159314882,0.00032592095382136157,0.0003768955441494207
CLARKE QUAY,25797.469090379283,26325.512467551303,0.004294938050442114,0.004543264849444658,0.004498067659837561,23933.238081375795,24069.548150936058,0.004095650821256119,0.00453146009661063,0.00448558493396089
CLEMENTI CENTRAL,34895.55855315098,39753.80517826336,0.007115608803873377,0.003274518093713071,0.002616590876053839,33350.57464102841,37882.19226225014,0.007444618573135682,0.0032905877315084118,0.0026805739544858787
CLEMENTI NORTH,62299.12805123196,61943.61021442967,0.010208448959838069,0.011339697298677613,0.011470166068502251,56758.5571442828,55829.20285145049,0.009610591420761318,0.010575181367369613,0.010683727860654137
CLEMENTI WEST,10358.943141373522,8792.908856318854,0.002188462767740923,0.0007764497883322163,0.0009508293292910637,10985.192680024971,9500.226086913139,0.0024188845274604226,0.0009592604412613437,0.0011426255117139852
CLEMENTI WOODS,11531.179841300578,12203.93191598162,0.0024080665164086805,0.0008769717716953891,0.0015043369801919463,11347.095309968732,10881.147240865506,0.002514166162930771,0.0008621927669415358,0.0015008766698559712
CLIFFORD PIER,3372.742027804699,3420.9028795022145,0.0010706068838076668,0.0004263906494237421,0.0003828851219919783,1684.0318429735196,2244.9182414109596,0.0008100277194956008,0.0003414787323646425,0.00022433103531769726
COMMONWEALTH,19037.037714107788,21766.428784107262,0.003558038678181944,0.0037721645875581746,0.003488335106171267,17135.908926081185,19206.40453939093,0.003353912394847631,0.0034195229997191472,0.003121261470253971
COMPASSVALE,27648.475492981263,29221.062042525402,0.004241460609151763,0.004656430946733468,0.004578019397153781,25213.621154375847,25527.07902526965,0.003909333426443948,0.004361574597769161,0.004524295408533852
