ind,node,level_1_weekday,level_1_weekend,weekday_com_ent_in,weekday_com_ent_out,weekend_com_ent_in,weekend_com_ent_out
58,ALJUNIED,2,2,0.6249207844130665,0.6495943995613899,0.5730442963606952,0.6028392931812044
59,GEYLANG EAST,2,2,0.6444129922736695,0.6162394405913839,0.6218837797214181,0.5971283535893153
60,TAMPINES WEST,2,2,0.33266256218637835,0.3889815832142296,0.2828850105037089,0.3445030313048292
61,SIMEI,2,2,0.3677239249131567,0.3629487098295965,0.3372329776215086,0.3362980053190164
62,PASIR RIS DRIVE,2,2,0.14458428569235465,0.17196349652533077,0.16720473379603712,0.1904198789344469
63,KAKI BUKIT,2,2,0.5233812740137772,0.47674905970445947,0.4625372521972036,0.42309824496783127
64,BEDOK SOUTH,2,2,0.35831511949577116,0.3978222634181078,0.3225485009210517,0.36759608537976496
65,MACPHERSON,2,2,0.6976580970264924,0.6956484537599499,0.6109063553794813,0.6032639025748078
66,FRANKEL,2,2,0.235497777070416,0.2514783030845769,0.22442962476700878,0.2694138115762568
67,KEMBANGAN,2,2,0.5138841778972251,0.32439392533729683,0.47884789957641377,0.29474317575342174
68,KAMPONG UBI,2,2,0.5492793004267754,0.5862170152844572,0.5048129507593345,0.5348965123087159
69,PASIR RIS WEST,2,2,0.24178435758258357,0.2829775637786366,0.25468284983216927,0.28099667605442497
70,BEDOK RESERVOIR,2,2,0.348041472061053,0.3617212349180788,0.3201161146589022,0.31482232209788097
71,MARINE PARADE,2,2,0.28645503394907657,0.3830540753487245,0.28866195522564037,0.38947499007191516
72,XILIN,2,2,0.3936760555232479,0.40202023353509914,0.36964953589816085,0.37222212133926574
73,CHANGI AIRPORT,2,2,0.5757397794848765,0.5605299726189412,0.5967548732467763,0.588509908798993
74,KATONG,2,2,0.3288184442281899,0.26588496070323125,0.3041357814726831,0.257980637406976
75,PASIR RIS PARK,2,2,0.14230895756609935,0.013838101296610741,0.14789214426553324,0.024630327200002175
76,TANJONG RHU,2,2,0.6158924479203736,0.6181160325890348,0.6355967025717912,0.6235561689231712
77,FLORA DRIVE,2,2,0.0780971123922324,0.03857057461302997,0.10150646165123348,0.04768632428614441
78,MOUNTBATTEN,2,2,0.29114717102228604,0.38995768876305764,0.27711229069691423,0.3782621303284584
79,DEFU INDUSTRIAL PARK,2,2,0.5258909978033459,0.3897394189986521,0.5287292940592883,0.34184223347711395
80,KAMPONG BUGIS,2,1,0.3744392322544531,0.5050358665441957,0.346475230442351,0.38842443643332114
81,TAMPINES NORTH,2,2,0.38304770934414617,0.055100837027357165,0.36029302931538193,0.054496866276588195
82,LOYANG WEST,2,2,0.1807828524484803,0.012059979911628828,0.20842918494840917,0.023144864351061063
83,CHANGI WEST,2,2,0.05977833695372797,0.09318014770740786,0.0582067446828351,0.11130636545528984
84,BAYSHORE,2,2,0.040503482356742455,0.28688261297775064,0.06422381734699639,0.2993041161117385
85,SIGLAP,2,2,0.060799468223341736,0.3820716649902635,0.07186954840336361,0.33810012489063856
86,PAYA LEBAR NORTH,2,2,0.1678305844208122,0.3946497184735865,0.16829059297635537,0.3817129333098086
87,AIRPORT ROAD,2,2,0.40792275370601705,0.2443879007738734,0.4210461105298751,0.1905777415342884
88,LOYANG EAST,2,2,0.02668226472098037,0.1904185432167181,0.04437075138933573,0.18228691287567675
89,PASIR RIS WAFER FAB PARK,2,2,0.48379831140557383,0.0,0.49304832026863,0.0
90,CHANGI POINT,2,2,0.22591191712050562,0.16424573115419883,0.23711033164837528,0.2212878951823341
91,PAYA LEBAR WEST,2,2,0.19979567379571528,0.0402126591069893,0.20685991111316548,0.05840307414536278
92,PAYA LEBAR EAST,2,2,0.096811862121958,0.436032876097353,0.10845949883164574,0.4180847516608486
93,PLAB,2,2,0.052350984189973894,0.5090296069200927,0.08075875754020494,0.4017289029035827
