ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core,weekday_in_core_lvl,weekday_out_core_lvl,weekend_in_core_lvl,weekend_out_core_lvl,weekday_ksc_ent_in,weekday_ksc_ent_out,weekend_ksc_ent_in,weekend_ksc_ent_out
65,DHOBY GHAUT,7385,7318,6252,6239,1,1,1,1,0.35572232568803674,0.39587511014611515,0.35749240483534545,0.37251756425379007
66,DOVER,5104,4696,4440,4033,1,1,0,0,0.6949346676435988,0.35584953746107373,0.7201277495821071,0.24874334499991488
67,DUNEARN,3264,4445,3089,3930,0,0,0,0,0.9050742296178653,0.661307447105441,0.8756997568374275,0.5589755983737492
68,EVERTON PARK,4908,4445,4589,4058,1,0,1,0,0.645769338618588,0.9749852481491315,0.5684358483636581,0.9856963993935403
69,FABER,3187,3370,2634,2880,0,0,0,0,0.3459287688574429,0.8154532230903417,0.3683608470710835,0.561154321924452
70,FAJAR,5369,5863,5059,5445,1,1,1,1,0.2594489022948451,0.2450212649662102,0.20229274369630487,0.21459065739772268
71,FARRER COURT,5602,5800,4909,5072,1,1,1,1,0.6429940048606243,0.5005156167698576,0.7107133979599215,0.5377906329171722
72,FARRER PARK,7385,7318,6252,6239,1,1,1,1,0.33780200979126307,0.2003881427280663,0.38106776654802993,0.2201160502494916
73,FERNVALE,7385,7318,6252,6239,1,1,1,1,0.6174544530620156,0.36045466439396945,0.5872622759118503,0.35864829119748104
74,FLORA DRIVE,3524,3554,3040,3181,0,0,0,0,0.4263443614438706,0.467486982665683,0.49976243256772424,0.4210972370082839
75,FORT CANNING,2514,2767,2372,2893,0,0,0,0,0.9963952055506404,0.6706426857113953,0.9998211526819533,0.6506063631255676
76,FRANKEL,7385,6894,6252,6106,1,1,1,1,0.4282276483989373,0.38703692004317275,0.3916840483061985,0.3990890339895424
77,GALI BATU,3444,3193,3649,3569,0,0,0,0,0.8409342200981299,0.9533959523558119,0.815969298109861,0.8632269982232178
78,GEYLANG BAHRU,6610,6527,5904,6106,1,1,1,1,0.3773918845030972,0.208992476691816,0.3111041932355071,0.20541664177931201
79,GEYLANG EAST,7385,7318,6252,6239,1,1,1,1,0.16993142473972533,0.19095225021049256,0.18572709024836595,0.19993316190669433
80,GHIM MOH,3028,3537,2812,3388,0,0,0,0,0.9262572784039834,0.6661759881791262,0.9209924693091267,0.5684947142173348
81,GOMBAK,7385,7318,6252,6171,1,1,1,1,0.302857914565408,0.5111798401586846,0.35934214611827525,0.5763918190686893
82,GOODWOOD PARK,2403,1894,2004,1692,0,0,0,0,0.5876096568517081,0.5108936269923504,0.5873862126041607,0.45657360425258076
83,GREENWOOD PARK,1341,1275,645,1089,0,0,0,0,0.3165284416867799,0.7348032088125622,0.7178692442820334,0.499585231761979
84,GUILIN,7385,7318,6252,6171,1,1,1,1,0.7909466958029349,0.6434771484594709,0.7617431592205657,0.6136971595152141
85,GUL BASIN,484,314,352,291,0,0,0,0,0.10110902540906332,0.4425607730629743,0.09610423832154742,0.4724529961346228
86,GUL CIRCLE,4699,5155,4077,4471,0,1,0,1,0.1861660519744202,0.10637690067650757,0.2516128816481483,0.18030997876805105
87,HENDERSON HILL,5054,5374,4589,5040,1,1,1,1,0.7923340489343423,0.6536944698155303,0.7889381036860547,0.6900916104420662
88,HILLCREST,2689,3352,2114,2880,0,0,0,0,0.980213921322178,0.9410574304493593,0.9517769772305277,0.8789551043736171
89,HILLVIEW,4584,4446,4154,4058,0,0,0,0,0.7317721048079234,0.5837761078785454,0.7810749903727625,0.4642225319365808
90,HOLLAND DRIVE,4397,4696,4154,4298,0,1,0,1,0.911156319418195,0.6051654254867748,0.9694472324794102,0.7023189910102874
91,HOLLAND ROAD,6385,6894,5501,5684,1,1,1,1,0.467971045667783,0.46131994361926715,0.5362910488730349,0.514111131736676
92,HONG KAH,5186,5700,5059,5451,1,1,1,1,0.483585700602685,0.4815650256814719,0.41728471099792214,0.3689417616701172
93,HONG KAH NORTH,3811,4093,3445,3745,0,0,0,0,0.8181018833900052,0.7593376682773744,0.80345861591535,0.6441081307225625
94,HOUGANG CENTRAL,7385,7318,6252,6239,1,1,1,1,0.18668862730617286,0.23006934854294234,0.1603997947176127,0.26705659881192584
95,HOUGANG EAST,5499,5320,5044,4808,1,1,1,1,0.13315847318761567,0.15593871067795165,0.11166328779035953,0.15958418804475333
96,HOUGANG WEST,6424,6396,5904,5684,1,1,1,1,0.31071488928669017,0.2822579548237387,0.2540200636940304,0.3316591301767005
97,INSTITUTION HILL,1518,1409,1498,1367,0,0,0,0,0.7067790967070512,0.9403562143734367,0.6158382975381594,0.9567526821871443
98,INTERNATIONAL BUSINESS PARK,2305,2561,1357,1664,0,0,0,0,0.5079642508111265,0.8901125781729474,0.452279312420612,0.6763586276139741
99,ISTANA NEGARA,568,620,435,462,0,0,0,0,0.7264190831792308,0.6957098191982487,0.6735520973080599,0.6399852458121364
100,JELEBU,7385,7196,6252,6171,1,1,1,1,0.7520366254688374,0.7769776499570655,0.7874107976403798,0.7857165801655096
101,JOO KOON,7268,7196,6252,6106,1,1,1,1,0.8932698156164871,0.807349854562619,0.9043008236177063,0.8891094336631254
102,JOO SENG,7385,7318,6113,6073,1,1,1,1,0.1661751258031199,0.2622328969665569,0.18161156140448265,0.25730560845519634
103,JURONG GATEWAY,7385,7318,6252,6239,1,1,1,1,0.5322530065515131,0.6570948893362454,0.5087027787834815,0.3645655364167412
