ind,node,cal_dc_spreader,cal_hh,cal_pr_spreader,cal_dc_receiver,cal_ha,cal_pr_receiver
15,PEOPLE'S PARK,0.2988201150623747,0.2860689955815332,0.31706148743861456,0.40755301205818123,0.35597989245922185,0.4030844501460401
16,KAMPONG JAVA,0.25594961710662845,0.22298805762449342,0.2574303917769403,0.29180713217830906,0.25702778628345874,0.277287999676869
17,BAYFRONT SUBZONE,0.23507207823489673,0.21681836349068817,0.2219984896107006,0.23657978242805136,0.22407799814825471,0.2227023828982034
18,MARINA CENTRE,0.33194415428256596,0.2989875273283759,0.3229988269030977,0.33124525951071343,0.30254154437528097,0.3150291215234899
19,SINGAPORE GENERAL HOSPITAL,0.36512158535402683,0.3329225690865623,0.34139981457139273,0.37381809799639126,0.34457569508550734,0.35682614017187864
20,BRAS BASAH,0.34835117120823844,0.3001004051568484,0.34290645874042625,0.33841055976186873,0.2934136063856107,0.32881471054298783
21,BENCOOLEN,0.3010117816160433,0.25739872069483405,0.28667013433668453,0.2230390327573889,0.19910541708154533,0.2096738811225041
22,CHINA SQUARE,0.33101835241796823,0.2913798061205281,0.32664581290332034,0.2358363145073661,0.2287565115210133,0.226043255190165
23,CRAWFORD,0.3058528334066981,0.26561398963084965,0.3059787170465872,0.31132487161347144,0.27651587074520645,0.30225173597176563
24,PEARL'S HILL,0.31005564369645244,0.22402853049333624,0.28978989031527214,0.25098220406808974,0.19451302669094417,0.25321042314432235
25,ROBERTSON QUAY,0.23451145748599478,0.17561290836552904,0.24179826557096287,0.25212277569745467,0.19237318175392035,0.2569015586168842
26,NASSIM,0.27711085345010056,0.24267765836586125,0.2626294684324853,0.30108752482595735,0.24864923455811197,0.3014479055021326
27,EVERTON PARK,0.26469995393619034,0.1848920284490424,0.27903955621242604,0.2409625649057335,0.2031648680536311,0.24074478816726677
28,SUNGEI ROAD,0.2492298886966455,0.22942498415353105,0.23809743246645004,0.23012996209065295,0.22502676149480072,0.2156749717849497
29,CHATSWORTH,0.2705414154491626,0.21039076273902588,0.2683921070600186,0.2615092640951126,0.19079846080170693,0.26293675347674067
30,CECIL,0.2699951304615336,0.21627154361255763,0.2877384278565001,0.2648471328964484,0.20423519522159986,0.2917217654863546
31,MALCOLM,0.259078776497065,0.21160093807387897,0.27154703936673574,0.28423045813229475,0.22313250588356284,0.2797357521637763
32,MACKENZIE,0.25904854554432777,0.18920584125216366,0.2074639367413077,0.13287991631362125,0.12044653539026413,0.12689051986602443
33,FORT CANNING,0.1662114454427704,0.13190717127412221,0.21586509872419282,0.18235091098328085,0.11982418517237901,0.20513262069181443
34,BOAT QUAY,0.15470665433564518,0.1125096040976529,0.2045594656237399,0.2041954027569628,0.17304877905748328,0.20652894625009544
