ind,node,weekday_in_core,weekday_out_core,weekend_in_core,weekend_out_core
193,PORT,5678,5374,4464,4298
194,POTONG PASIR,7385,7066,6252,6106
195,PUNGGOL FIELD,7385,7318,6252,6239
196,PUNGGOL TOWN CENTRE,5789,5930,5501,5683
197,QUEENSWAY,3028,3641,2506,3502
198,RAFFLES PLACE,7385,7318,6252,6171
199,REDHILL,7385,7318,6252,6171
200,RESERVOIR VIEW,633,587,572,599
201,RIDOUT,3017,3060,2859,2762
202,RIVERVALE,7385,7318,6252,6239
203,ROBERTSON QUAY,4120,3852,3843,3698
204,ROCHOR CANAL,2869,2767,2774,2752
205,SAFTI,252,876,215,683
206,SAMULUN,534,271,374,224
207,SAUJANA,5480,6401,5059,5748
208,SELEGIE,2291,2088,2189,1959
209,SELETAR,2480,2668,2325,2446
210,SELETAR AEROSPACE PARK,1149,1183,798,860
211,SELETAR HILLS,3264,2597,2581,2195
212,SEMBAWANG CENTRAL,7385,7318,6252,6239
213,SEMBAWANG EAST,1341,1863,1230,1854
214,SEMBAWANG HILLS,3169,2668,2822,2511
215,SEMBAWANG NORTH,3232,2668,3119,2463
216,SEMBAWANG SPRINGS,2797,2668,2793,2593
217,SEMBAWANG STRAITS,414,554,534,755
218,SENGKANG TOWN CENTRE,7385,7318,6252,6239
219,SENGKANG WEST,776,877,785,781
220,SENJA,5369,5863,5059,5445
221,SENNETT,4831,4445,4464,3903
222,SENOKO NORTH,1457,1700,1356,1485
223,SENOKO SOUTH,2271,2441,1607,1872
224,SENOKO WEST,1457,2021,1356,1893
225,SENTOSA,919,493,1166,870
226,SERANGOON CENTRAL,7385,7318,6252,6239
227,SERANGOON GARDEN,5789,6396,5321,5684
228,SERANGOON NORTH,5770,4758,4987,3984
229,SERANGOON NORTH IND ESTATE,3174,2644,2112,1755
230,SHANGRI-LA,5351,4006,4987,3847
231,SHIPYARD,486,556,352,392
232,SIGLAP,1891,4039,1789,3814
233,SIMEI,7385,7318,6252,6239
234,SINGAPORE GENERAL HOSPITAL,7385,7318,6252,6171
235,SINGAPORE POLYTECHNIC,7385,7231,5501,5577
236,SOMERSET,7385,7318,6252,6239
237,SPRINGLEAF,2611,1565,2293,1457
238,STRAITS VIEW,3034,3085,3759,3875
239,SUNGEI ROAD,6385,6269,6252,6106
240,SUNSET WAY,2416,1862,2084,1480
241,SWISS CLUB,4069,4006,3417,3745
242,TAGORE,3677,2872,3145,2572
243,TAI SENG,5104,4758,4464,4149
244,TAMAN JURONG,7385,7318,6252,6239
245,TAMPINES EAST,7385,7318,6252,6239
246,TAMPINES NORTH,2143,2926,2124,2833
247,TAMPINES WEST,7385,7318,6252,6239
248,TANGLIN,792,878,679,739
249,TANGLIN HALT,4397,4514,4154,4058
250,TANJONG PAGAR,7385,7318,6252,6171
251,TANJONG RHU,6317,6396,5918,6106
252,TEBAN GARDENS,5170,4480,5059,4298
253,TECK WHYE,7385,7196,6252,6171
254,TELOK BLANGAH DRIVE,5186,4696,4589,4298
255,TELOK BLANGAH RISE,4397,4445,4154,4058
256,TELOK BLANGAH WAY,2792,4445,2581,3978
257,TENGAH,1613,1388,1454,1245
258,TENGEH,170,197,163,180
259,THE WHARVES,403,939,450,1062
260,TIONG BAHRU,4387,4445,4255,4058
261,TIONG BAHRU STATION,7385,7318,6252,6239
262,TOA PAYOH CENTRAL,7385,7318,6252,6239
263,TOA PAYOH WEST,7385,7318,6252,6171
264,TOH GUAN,4584,4411,4434,4136
265,TOH TUCK,4039,4043,3427,3543
266,TOWNSVILLE,4831,5320,4690,5279
267,TRAFALGAR,5780,6396,5321,5684
268,TUAS BAY,4403,4425,4422,3983
269,TUAS NORTH,4403,4591,3775,4034
270,TUAS PROMENADE,4317,4226,4414,4275
271,TUAS VIEW,795,714,966,683
272,TUAS VIEW EXTENSION,395,374,519,436
273,TUKANG,2148,1131,1533,913
274,TURF CLUB,7385,7318,6252,6239
275,TYERSALL,6292,6483,5904,5763
276,ULU PANDAN,3017,1484,2771,1279
277,UPPER PAYA LEBAR,5104,4620,4690,4149
278,UPPER THOMSON,7385,7318,6252,6171
279,VICTORIA,7385,7318,6252,6239
280,WATERWAY EAST,7385,7318,6252,6171
281,WENYA,2509,2399,2054,2095
282,WEST COAST,2673,1558,2190,1382
283,WESTERN WATER CATCHMENT,2598,2561,2384,2253
284,WOODGROVE,2293,4158,2225,4173
285,WOODLANDS EAST,7385,7318,6252,6239
286,WOODLANDS REGIONAL CENTRE,7385,7318,6252,6239
287,WOODLANDS SOUTH,2143,3446,1799,3190
288,WOODLANDS WEST,7385,7318,6252,6239
289,WOODLEIGH,3115,1779,2665,1530
290,XILIN,7385,7318,6252,6106
291,YEW TEE,7385,7318,6252,6239
292,YIO CHU KANG,7385,7318,6252,6171
293,YIO CHU KANG EAST,3455,2867,1995,1822
294,YIO CHU KANG NORTH,1385,3133,930,2483
295,YIO CHU KANG WEST,4762,4006,4464,3847
296,YISHUN CENTRAL,5979,6396,5904,5781
297,YISHUN EAST,3264,3976,3119,3839
298,YISHUN SOUTH,3264,6396,3119,5763
299,YISHUN WEST,7385,7318,6252,6239
300,YUHUA EAST,5186,5179,5059,5005
301,YUHUA WEST,4866,5179,4507,5005
302,YUNNAN,5104,5080,4765,4905
