ind,node,cal_dc_spreader,cal_hh,cal_pr_spreader,cal_dc_receiver,cal_ha,cal_pr_receiver
137,PENJURU CRESCENT,0.1029943366042504,0.09070610827425846,0.10056952412101196,0.12344080767980684,0.11888912062728393,0.12339006748940644
138,JURONG RIVER,0.08214291522312399,0.0967499878567663,0.08357797488569316,0.16840889640662352,0.19081706644423244,0.16581852212893639
139,JURONG PORT,0.0704505664476151,0.06839507845405265,0.07334403414251509,0.06406931287420181,0.06940679152039816,0.0607729365975972
140,GUL BASIN,0.0508553501358641,0.03817033168963557,0.08063272850027507,0.0,0.0,0.0
141,SAMULUN,0.0,0.0,0.0,0.0,0.0,0.0
142,SHIPYARD,0.0,0.0,0.0,0.0,0.0,0.0
143,SAFTI,0.015257242071601305,0.01868285900811301,0.009628512850763365,0.04750865464348109,0.041820294628334816,0.05829329015178678
144,PIONEER SECTOR,0.015942968200483625,0.012268890534722687,0.013583927210412797,0.0,0.0,0.0
145,CHOA CHU KANG CENTRAL,0.6904423085619132,0.6103112521874511,0.6679414039427817,0.69511971093817,0.6395865149332289,0.6720140170445054
146,JELEBU,0.48276663492868516,0.36009570652258865,0.4881313598383821,0.5043722172408971,0.40078327723039386,0.4977621419419065
147,TECK WHYE,0.3448714098485514,0.3018721091705772,0.32118155854760067,0.3311080280706963,0.3012386733829033,0.320330056543129
148,SAUJANA,0.17198000173297037,0.14521428957296084,0.16030261930310333,0.14928268929474958,0.1193327018432756,0.1447866711551906
149,YEW TEE,0.434580132023985,0.44065237986428446,0.4086754260455961,0.46154202308338416,0.4758369613993067,0.43269919913096033
150,BANGKIT,0.30278349939622096,0.24733805304104725,0.28905809694209994,0.32852376634683006,0.276767333084942,0.3208324028974699
151,PENG SIANG,0.24423733758700475,0.22418447390365392,0.22219928343198023,0.24342957484931174,0.22281423068078807,0.2341900665131724
152,FAJAR,0.1836360475602941,0.14899836640144512,0.17793491278973542,0.16807601284383147,0.1342625017468564,0.16282510241424195
153,KEAT HONG,0.2307685589611553,0.2083332153790044,0.24024090070359103,0.2972317205475116,0.26668066488966496,0.28334125795200477
154,SENJA,0.19113306869733565,0.15420315646103971,0.20173851922045843,0.3278522271970325,0.2511082753620077,0.3187687937341315
155,CHOA CHU KANG NORTH,0.0,0.0,0.0,0.032915329506802746,0.030040800365184712,0.030749336804781435
156,DAIRY FARM,0.17761478232830108,0.14645019973953013,0.17026497500309332,0.21869559848429243,0.18683593932217754,0.21116362160053975
157,LIM CHU KANG,0.14562964476309342,0.11619509000245604,0.12840336014628426,0.12955882246575995,0.11645886371531008,0.12688940606436663
158,WOODLANDS REGIONAL CENTRE,0.7392645329784224,0.6976044662861728,0.6939049039520362,0.74514067984432,0.7430539741127794,0.6952331184414491
159,WOODLANDS EAST,0.577761004701446,0.6139765458841113,0.5364547212468408,0.5973714226468274,0.6434175304494997,0.5523714612525147
160,WOODLANDS WEST,0.332290300487372,0.3642417287427479,0.3384550733727538,0.5234380664785111,0.5317601972892549,0.5017329323097979
161,MIDVIEW,0.2131893355450044,0.24526843763892284,0.19264093831936838,0.18103451968133288,0.2119931349030861,0.1635949197564407
162,NORTH COAST,0.29713030463100976,0.3056864502109181,0.2751353024824154,0.2975937424483924,0.3058688443887649,0.28137557401861035
163,WOODLANDS SOUTH,0.16321849493180646,0.19099535890646302,0.1364218550023547,0.108837559639356,0.13213266644508778,0.09772866563545758
164,TURF CLUB,0.4942981991138201,0.4838441776380427,0.4597306859378644,0.4387933785766782,0.44211270810096936,0.4164488155852929
165,WOODGROVE,0.2888943084982663,0.2648874247568811,0.22568354828571394,0.19317140303908129,0.21752355042851515,0.17552755667813055
166,GREENWOOD PARK,0.09837259645095146,0.09738123457196358,0.06528421451232166,0.08733152535793151,0.10311852607296092,0.08064040219216652
167,SENOKO SOUTH,0.18985538016396264,0.2000067873372936,0.15975221740163956,0.19436368436554302,0.21060229778534392,0.18256465548210382
168,SENOKO WEST,0.23629606319242488,0.21319692455037448,0.21560671446388738,0.18446010305916227,0.21102614875242812,0.17189215733427318
169,GALI BATU,0.2963061186451256,0.24286170541638463,0.2900686814101721,0.29738614649131523,0.24292818155223064,0.292370804208902
170,KRANJI,0.12757821372651737,0.11041999766145809,0.15287637949469174,0.2822777644278336,0.20449070125516594,0.30102491154211
171,RESERVOIR VIEW,0.10094817567632788,0.07636811963908458,0.08825384670096227,0.09680055926748575,0.08848614473273665,0.09487466966408187
172,PANG SUA,0.07218354543164177,0.06048265027245813,0.05355043780098794,0.05799521242631585,0.06387800431659248,0.05404252089682554
173,CLEMENTI CENTRAL,0.5297468312204782,0.3911142227261994,0.5372691531175972,0.5134735099396326,0.3781772651018919,0.5422010768935459
174,CLEMENTI NORTH,0.49804733857258526,0.4768333434744995,0.48600178992048415,0.5532333337539542,0.5409584092861132,0.5354701533289155
175,ONE NORTH,0.4184608877482283,0.38653102766822434,0.4153190752628379,0.4551466519701062,0.4235691133660699,0.4521726103065587
176,MEI CHIN,0.378663699160751,0.34163945392051914,0.38114293127733306,0.43143349208650195,0.3930407427315587,0.42537439257963566
177,COMMONWEALTH,0.3882154992389958,0.3641035768452321,0.36664448017288315,0.4208355087380175,0.40764398063459667,0.4124631184233333
178,SINGAPORE POLYTECHNIC,0.37370867155063947,0.329774748679228,0.35648959124586926,0.35181764734182874,0.3398722676835346,0.34684262005219385
179,NATIONAL UNIVERSITY OF S'PORE,0.2548150866099864,0.2307708564536416,0.2452356291311727,0.2641723533957705,0.2464356157480528,0.2565514436995238
180,CLEMENTI WOODS,0.29774083530141765,0.2132092426107477,0.3023093211528339,0.280832321792661,0.24474160869840522,0.28125888949798283
181,CLEMENTI WEST,0.2096255302653631,0.16274880423376648,0.21909499814515743,0.1927625960565857,0.15504554679710536,0.19201968183569204
182,DOVER,0.17489586703448476,0.11511537876635866,0.19080084604169054,0.2704866004972173,0.19035521684202825,0.27599835648202503
183,TANGLIN HALT,0.311249489354607,0.2042561423415549,0.342737342571351,0.29641366555387016,0.2138099813341518,0.3161317478527554
184,HOLLAND DRIVE,0.2694079209201705,0.20186459393636028,0.27957930711500856,0.29811492373360343,0.20995991658471982,0.3119026918096177
185,LEEDON PARK,0.3460277723720763,0.29358733085516636,0.34104046043047986,0.34046171288722443,0.2949108888842557,0.33547841880007695
186,PASIR PANJANG 1,0.3691163594470236,0.3226792985336387,0.3708792084866911,0.32154094707332737,0.2914423869629768,0.31825030204762034
187,MARGARET DRIVE,0.2672485565604813,0.21267467526752906,0.24471690951905228,0.27280362507165745,0.17842780383573537,0.2817496893602474
188,GHIM MOH,0.19519056677817906,0.14324756655101997,0.20404759942508746,0.2613272362492739,0.19207227253141118,0.27219194510281025
189,FARRER COURT,0.28698831197366037,0.24945155953349532,0.28969458795039127,0.30665984929321355,0.2600166744592134,0.3042610432422411
190,FABER,0.19524448473328748,0.1792524772250026,0.18478408879953298,0.15199681844919335,0.13265824095156403,0.15125386869033794
191,PANDAN,0.10756492439981409,0.08652805329935674,0.09860472750523065,0.0985228642528696,0.06665223758423988,0.10024424611600168
192,WEST COAST,0.1106888575559082,0.11246037185690455,0.13832258884271056,0.14657604816984085,0.12801963537961847,0.14629379191376227
193,QUEENSWAY,0.258412850033513,0.17348181036734148,0.25029876518794975,0.19496124944599794,0.1691407702139525,0.20739436504185954
194,ULU PANDAN,0.16835771577988748,0.10660356763678124,0.19293432732873578,0.20303315452486664,0.13246612565095137,0.20775704671676148
195,RIDOUT,0.19919283124278497,0.14590280750912973,0.21226727642433052,0.20464816269227729,0.161517587228694,0.20010839723314675
196,SUNSET WAY,0.18663835182071847,0.138423167692195,0.20181781530362788,0.15796207265366724,0.14313525899959811,0.1587512683770335
