node,in_degree_weekday,out_degree_weekday,PageRank_weekday,HITS_hub_weekday,HITS_authority_weekday,in_degree_weekend,out_degree_weekend,PageRank_weekend,HITS_hub_weekend,HITS_authority_weekend
BOON TECK,0.0692657533373873,0.05598613108253597,0.061748771316732516,0.03781159473954797,0.053026850086900376,0.08158378967361798,0.05744866475000779,0.07199549116514908,0.04387157993699108,0.0673907722928348
BOULEVARD,0.5665078000502494,0.5085005700363877,0.4965728546851138,0.42217260590730116,0.4716825380766744,0.813004248007313,0.7570892290147413,0.7059473396028874,0.694495301702083,0.7332951268708926
BRADDELL,0.06243698280773042,0.0640674959612184,0.06584796184367704,0.03979490650574296,0.035595453436347894,0.054035711903074254,0.05852164872036269,0.05628907065536508,0.04022455262308123,0.0346773981977142
BRAS BASAH,0.10722012496384625,0.10311530624306209,0.09835542210965188,0.06592817532738401,0.06988522026418191,0.09784415299761146,0.10000068639645415,0.08968992273404608,0.07791053334463544,0.07497976494199028
BRICKWORKS,0.06954748486469922,0.06844975669488068,0.06449171473193117,0.030001228343290557,0.043176089305497316,0.07028317448854893,0.06515794331176238,0.06366140674088179,0.03406633080362925,0.05004142843015109
BUGIS,0.2125538389551955,0.20928920028899592,0.19137111429892978,0.12301240603261204,0.12826168784799238,0.26584776298035245,0.2698930553574759,0.2333226106116688,0.19551300645207934,0.1988344701822076
BUKIT BATOK CENTRAL,0.38327673791067624,0.38434287680039453,0.3484158155425309,0.23983004489019003,0.2692982340810393,0.38567282566551697,0.38320399731240595,0.34877356618170147,0.2818532151366221,0.315425959278419
BUKIT BATOK EAST,0.05816054977801951,0.07174307683855859,0.054021505177115604,0.03275719430195642,0.03074940431456211,0.06958660473664843,0.07842646889431347,0.06400842264898725,0.04091444756982501,0.04387951544743197
BUKIT BATOK SOUTH,0.0824234989220981,0.07787432856225629,0.07255047064676855,0.055375190554666755,0.03927698270407195,0.07592385501211166,0.07933105533532628,0.0693120434867815,0.06592886148708202,0.0372935549574576
BUKIT BATOK WEST,0.06698038218677337,0.0582452772194007,0.0625323183912766,0.034553559618874914,0.03774143411789406,0.0687899036937669,0.06382624345892524,0.06470209605452035,0.04600987562857178,0.04676642172572475
BUKIT HO SWEE,0.04354219500459798,0.04237540611190203,0.04570749109575105,0.016768969204167112,0.01637014019061694,0.047420889283651874,0.04865788800785413,0.04761199110268863,0.024652408053511515,0.02023112020830635
BUKIT MERAH,0.10481221503641487,0.09132147482755952,0.11767828273585053,0.024711011104060928,0.03401792268169226,0.08588616100498586,0.07504066749209683,0.0986710255075002,0.022957957375766645,0.03130436149223476
CECIL,0.037436603338060426,0.041332464863318465,0.050028457189137766,0.02124328378624388,0.017167314558172903,0.011740137308584813,0.013864955671392546,0.018823905995085318,0.008693289092808297,0.007309239526488437
CENTRAL SUBZONE,0.24166068431860147,0.21983978708904667,0.22688023107545224,0.166154313443019,0.18805174699602722,0.08186633761854875,0.06077216517114921,0.09753749416508826,0.04733465691829805,0.0746013081142655
CENTRAL WATER CATCHMENT,0.032410145667085034,0.031679518638350355,0.038754805210802365,0.010464146869874184,0.011914122266520494,0.04275493727639381,0.04497200907776956,0.04980897066500145,0.017897188440705102,0.01935318770969267
CHANGI AIRPORT,0.2978358054610436,0.2930514528747534,0.24890148629304934,0.33105556693873994,0.36212585805049624,0.4042363514537645,0.4113913517902577,0.33020960545957007,0.4567218174095601,0.48528839407075236
CHANGI POINT,0.02173977742779634,0.020534355089328167,0.020160463192378977,0.023587091905519234,0.03211180010564892,0.052247129545872274,0.04868289849985926,0.050868502060710793,0.055508250336994726,0.07265393822712278
CHANGI WEST,0.033319919259781026,0.05265610323499705,0.030387824869158545,0.08788233623119768,0.06947855087377892,0.026329300612384785,0.044140277184067586,0.02530056133068193,0.06488017734985987,0.0473951568526782
CHATSWORTH,0.04993082734441871,0.05198205802284901,0.05075296460719344,0.02444737308741065,0.019392425298498366,0.05213473229391697,0.05804451432452811,0.05193732134265953,0.04166459332044761,0.0244262060924205
CHENG SAN,0.49689528632695407,0.512259040509378,0.41152718104406893,0.3983577086559529,0.4265668148421578,0.4802781040942466,0.4827564598927492,0.39490152647196797,0.43805556632924375,0.4765034329029327
CHIN BEE,0.025942633139627972,0.019930316712400774,0.02472457085351881,0.03301305366209867,0.0374190690579417,0.014963495021181605,0.011618026614987183,0.01390689661274505,0.021930168818206273,0.02063654423141742
CHINA SQUARE,0.10981305969194552,0.10062862632364017,0.09669335130266922,0.06863468992672529,0.10021721954264523,0.12984888506807424,0.09381887568874205,0.1110631646692755,0.07240367657048782,0.1287005431232987
CHINATOWN,0.5001021842955994,0.5139797794198201,0.42907808672573605,0.35671998551387535,0.39613386071573287,0.5148090067106283,0.5444742524763764,0.4371308378266941,0.444503470057475,0.49264940305722793
CHOA CHU KANG CENTRAL,0.5407115045498452,0.5415537754639483,0.49833291706749316,0.33133175160721673,0.38278678253482096,0.5569202708060628,0.555797133849402,0.5032099387312464,0.38387360036744295,0.43382253748282773
CHOA CHU KANG NORTH,0.0697690122488005,0.08101350912445347,0.05742185532810221,0.055176015435185514,0.05133818548567537,0.0647106164733452,0.07298134131382654,0.05275798211850699,0.05180626485820653,0.04919437118633726
CHONG BOON,0.1708601207193448,0.12553136692715125,0.1415435312388684,0.06682011663218344,0.08661836654093401,0.1692536461987644,0.13167225833501295,0.14293953542584026,0.06966587852043181,0.08894081103153605
CITY HALL,0.408676199348031,0.3912404899220841,0.34472771412736325,0.34525430915892596,0.3818678281989539,0.5166609084406063,0.5048203333386141,0.42843063769069906,0.5141851009160079,0.550273137801522
CITY TERMINALS,0.020073350606639534,0.01653354311583241,0.02300379937131678,0.01049771393249702,0.012793414183032705,0.018207377449352864,0.013816240844605015,0.02102572936059782,0.011646707030840489,0.01444955254576046
CLARKE QUAY,0.1949094593989177,0.19749613223433862,0.166100921041928,0.14303159630284465,0.15387196880807696,0.1855905704347272,0.18572647917961926,0.15749796753517414,0.1620162320123329,0.17323871750601377
CLEMENTI CENTRAL,0.26406899386858795,0.2984378931057542,0.2902573263866323,0.1030542185747084,0.08940014452153527,0.2590150689776877,0.2923354018708482,0.30496642504323573,0.1176487010566399,0.10348017433512746
