ind,sub_zone,xx,yy
217,TRAFALGAR,33351.52187078779,40336.79753307865
218,TECK WHYE,19269.994201727684,40394.10505745955
219,CHOA CHU KANG CENTRAL,18465.672016230423,40772.9207812787
220,CHANGI WEST,44092.33800889986,38928.65858804422
221,FAJAR,21080.957329295943,40748.09264324082
222,SENJA,19897.9466771508,40895.36376800436
223,SAUJANA,20536.71458242836,40906.653164726005
224,SELETAR HILLS,31676.96269005011,40603.198908321414
225,COMPASSVALE,34304.25050124408,40761.09087015794
226,YIO CHU KANG EAST,30234.36824767746,40602.650868163284
227,YIO CHU KANG,29443.744719843155,40836.02070850652
228,LOYANG WEST,43294.83373874102,39888.771684897576
229,TAGORE,27445.77130277442,40971.4244892897
230,LORONG AH SOO,33930.31694000141,37657.02605083232
231,FLORA DRIVE,42801.73496799839,37930.548969888514
232,HILLVIEW,20276.65294572213,37526.45823810663
233,CHANGI BAY,49502.48669641183,34316.54426110104
234,PAYA LEBAR EAST,38065.44838934096,37522.396098194346
235,UPPER THOMSON,27884.687241238502,37749.39371257658
236,HONG KAH NORTH,18505.46533835265,38307.468402074024
237,TOWNSVILLE,29686.468020273,38599.4995308956
238,KOVAN,33270.79137153873,38331.47681437974
239,CHONG BOON,30485.51096793551,38478.993077453386
240,SHANGRI-LA,28564.715659470345,38888.92099144104
241,SERANGOON GARDEN,31710.82276196473,38310.22439962042
242,HOUGANG CENTRAL,34470.70052860689,39076.596308503744
243,LOYANG EAST,43592.331168355406,38890.09486953484
244,DAIRY FARM,21181.12006932678,38939.837529327364
245,PASIR RIS DRIVE,42032.45809407272,38988.218790667364
246,TAMPINES NORTH,39763.942304357435,38698.16923684965
247,CHENG SAN,30312.19239595688,39413.34782385563
248,ANG MO KIO TOWN CENTRE,29501.76592510483,39419.40493064281
249,KEBUN BAHRU,28700.16740246356,39496.506105167544
250,SERANGOON NORTH IND ESTATE,31498.878438214095,39642.22236330456
251,TENGAH,16363.189321680702,38432.54743056752
252,SERANGOON NORTH,32458.803173465694,39597.640171283405
253,PASIR RIS CENTRAL,40755.901758111024,39341.747748913214
254,GOMBAK,19560.70284389371,39034.54400004348
255,PLAB,36691.9113853847,37730.7232890936
256,KRANJI,19766.843293119193,46226.35453071179
257,PASIR RIS PARK,41529.79806672749,40218.94376962386
258,CHOA CHU KANG NORTH,18347.56827551308,41593.76489672388
259,RIVERVALE,35977.611393310646,41060.80245736396
260,SENGKANG WEST,31319.943179597,41936.678659985184
261,FERNVALE,32806.2915430158,41896.36855840677
262,PUNGGOL FIELD,36673.89943189138,41847.09028927734
263,YEW TEE,18498.113917888808,42506.07435712102
264,PASIR RIS WAFER FAB PARK,38612.49655038875,41196.68192614483
265,MATILDA,35089.98531786013,42728.27454293228
266,WATERWAY EAST,37063.22385897944,42568.223795109014
267,GALI BATU,20165.06878864912,42429.24085096013
268,CHANGI AIRPORT,46661.84904173782,36599.81581775301
269,YIO CHU KANG NORTH,29505.98777337602,41733.440102381326
270,CHANGI POINT,44603.63267942883,41360.41864590394
271,SENGKANG TOWN CENTRE,35163.81208241263,41501.14185733575
272,ANCHORVALE,34218.535479903636,41815.31600220777
273,LORONG HALUS NORTH,36619.215367766374,40404.615732654114
274,YISHUN SOUTH,28500.546740808917,44471.67350122547
275,LOWER SELETAR,29437.619516896957,43432.045461635345
276,NORTHSHORE,36169.55749017907,44222.76556797275
277,MANDAI ESTATE,27082.698061466974,45367.46032282963
278,YISHUN CENTRAL,28483.07051082384,45383.33440165244
279,PULAU PUNGGOL TIMOR,34428.84917202989,44535.89770301445
280,TURF CLUB,20234.60067065213,44507.19013116936
281,WOODLANDS SOUTH,23609.573063994983,45692.87859125945
282,WOODGROVE,21905.284951306206,45668.04115376962
283,YISHUN EAST,29476.599550623632,45515.71964142526
284,WESTERN WATER CATCHMENT,12020.342017595922,40454.87109876308
285,PULAU PUNGGOL BARAT,33050.097612240526,45213.5347127863
286,YISHUN WEST,27743.266827040607,45873.60068204424
287,WOODLANDS REGIONAL CENTRE,22571.20947274392,46698.873522428745
288,RESERVOIR VIEW,18367.17108352703,45940.48680996425
289,WOODLANDS EAST,24506.63755813031,46991.63002696307
290,SEMBAWANG CENTRAL,26268.732618552003,47558.080473729846
291,GREENWOOD PARK,22608.389495912907,47660.06453416761
292,SEMBAWANG EAST,27788.94031544507,47682.83203291677
293,SENOKO WEST,23921.55122309113,48088.74100858055
294,PULAU SELETAR,31511.014000844887,47245.33295627497
295,ADMIRALTY,27091.275536248853,48333.800594996406
296,LIM CHU KANG,15309.816882586416,45819.041422596594
297,SIMPANG NORTH,29388.71398676812,47645.27681225887
298,SENOKO SOUTH,25130.655027630622,48346.032612006624
299,SEMBAWANG NORTH,26038.808411073034,48732.90574633072
300,TANJONG IRAU,29959.6312364173,48428.17347010915
301,NORTH-EASTERN ISLANDS,50424.79235104184,42612.87846528219
302,MANDAI EAST,25739.273650440497,45391.764856298076
303,SIMPANG SOUTH,30567.89983208233,46241.496990662694
304,NORTHLAND,28520.58147944309,46642.724306057
305,MIDVIEW,23349.760084593392,46841.11437664976
306,WOODLANDS WEST,21582.590335894012,46573.02497833191
307,SEMBAWANG SPRINGS,27076.811872762613,46959.08865421795
308,SPRINGLEAF,26969.723237830163,42586.216026900176
309,PUNGGOL TOWN CENTRE,35602.37772621485,43427.51105214588
310,NEE SOON,25921.724541618416,43261.52256922593
311,PUNGGOL CANAL,37408.842263531966,43168.570258665466
312,CENTRAL WATER CATCHMENT,24424.41830239057,39849.045628750864
313,SELETAR,33371.54996742569,43425.08958715136
314,PANG SUA,18535.567789075973,43826.08364654694
315,SELETAR AEROSPACE PARK,31690.730084589606,43796.911753620654
316,KHATIB,27480.635781943467,44420.68844005302
317,MANDAI WEST,22549.07367066924,44455.84748237901
318,CONEY ISLAND,37928.497670999015,43351.37430285776
319,NORTH COAST,22147.036052782285,48031.552238968776
320,SEMBAWANG STRAITS,28352.47747941471,48918.274998343266
321,THE WHARVES,26945.068079765482,49552.790419481935
322,SENOKO NORTH,24665.787870855285,49482.59533559931
